Tweet,etiqueta
En @elconfidencial: Islas contra Península: la guerra del verano covid entre los principales destinos turísticos https://t.co/4XUQzBmsfX,1.0
"Asi es!! Y el famoso carnet Covid-19 que hablaron tantas veces, pérdida de tiempo valioso en puras estupideces!! https://t.co/HFuwX72DPA",1.0
"@Sindicato_SATSE La coalición de los corruptos y descerebrados del PP y VOX es más peligrosa y mortal que el Covid 19, porque anteponen los intereses partidistas y económicos a la salud de los españoles. https://t.co/WzZ9TB7MrQ",-1.0
@SEUR_responde Será normal que el repartidor de paquetes me haya dejado un paquete de valor en las escaleras de mi edificio y desaparezca? Entiendo todo el tema del covid pero si eso se pierde quién responde?,-1.0
Nuevas cancelaciones de carreras @MarathonMtBlanc y @FamaraTotal   Consulta el listado de pruebas aplazadas y canceladas en 2020 en nuestra web 👇  https://t.co/BDxMTDLQYp   #trailrunning #deporte #revistatrailrun,1.0
El Pacífico y el covid... impacto económicos. https://t.co/9nPr6efkMf,1.0
"La coalición de los corruptos y descerebrados del PP y VOX es más peligrosa y mortal que el Covid 19, porque anteponen los intereses partidistas y económicos a la salud de los españoles. https://t.co/mCBPRllqP5 https://t.co/f8buX7tJeO",-1.0
"Verguenza es que todos los futbolistas tengan la prueba prueba del COVID para ir a entrenar y los cuerpos de policía y los sanitarios no. El día en que sepáis lo que sí hay que priorizar avanzaremos como país y sociedad. Mientras tanto, PONEOS MASCARILLA POR FAVOR.",-1.0
"Por favor @realDonaldTrump @Almagro_OEA2015 @IvanDuque @jairbolsonaro ayúdenos a salir de los Narcoterroristas que gobierna mi país, ayúdenos por favor estamos muriendo, ellos son peores que la pandemia covid-19 https://t.co/dDOta1C1kD",-1.0
Que oportunos!!!  https://t.co/mOEGZdHucB,1.0
Deberían recall TODOS los Crown Victoria que no sean de la policía pq esa perse de identificarlo en el retrovisor pa que lo que te pase por al lado sea un doñito tropical es precisamente el apprehension que no me hace falta en tiempos de COVID-19,1.0
"@GustavoBolivar Usted es una basura, no se por que el Covid no le ha visitado",-1.0
"A ver si por envidia, ya que no nos podemos comparar con seres superiores, cometemos un acto de inteligencia.  https://t.co/qcgqm0PinN",1.0
"#FRPactualidad 📢Fintech, el salvavidas de la pyme frente al COVID-19 https://t.co/TiKL8JhDry #covid #crisis #empresas #finanzas #fintech #pyme #tecnología",1.0
"COVID-19 GALICIA  -&gt; Nº Casos Activos: 2.322 (-11,75%)  -&gt; Evolución casos activos últimos 7 días: -17,31% https://t.co/BmJhpTMusX",1.0
"@K1N624MUR0 Yo conocí a una chica estupenda de 25 años, que murió, de una neumonía atípica, “pero según no de covid, era “””otra “”””neumonía atípica . Además de una prima que si fue diagnosticada positivo covid y gracias a Dios hoy está bien.  Ambos casos en Merida.",1.0
"@lopezobrador_ Así tuvo que ser, la gente sabe que tenemos a un gobierno incapaz de soportar muchos enfermos de #Covid_19. Más vale que se cuiden a tener que pisar un #IMSS / #insabi en estos días. Yo por fortuna tengo seguro de gastos médicos mayores en caso de requerirlo.",-1.0
Estas son las noticias importantes.. demasiada fama para el Covid en los medios.. https://t.co/dOg5RGDnXt,1.0
"🔴 En #13NoticiasDeLaMañana con Víctor Ordóñez, un paciente en Cholula vence al covid, 111 trabajadores de la salud han muerto en México por #coronavirus, 4 en Puebla; además le tenemos el saldo del primer día del Hoy No Circula. ¡Los esperamos!  7:30 am. https://t.co/NlgpmXjMi2",1.0
"@anikaesperanza6 Buenas tardes:  Espérate con las discotecas, conciertos etc...  Sólo espero que las autoridades tengan dos dedos de frente y prohíban los eventos multitudinarios por mucho tiempo.",1.0
"#12Mayo Felicitaciones a las enfermeras heroínas de #Vzla que se juegan la vida en un Sistema de Salud acabado por el régimen indolente, trabajando con las uñas el #Covid_19 y con salario miserable.  Exigimos 600$ de salario mínimo",1.0
"Santa Cruz descarta celebrar un pleno urgente sobre el Covid-19 https://t.co/Rcw90QTDxT  @eldia ¿Total, pa´ qué? Es la ciudad más afectada de Canarias, pero no necesitamos ayudas sociales, medidas extraordinarias para comercios, etc. Es suficiente con las caravanas musicales",1.0
Espero que hagan lo mismo socialistas y comunistas dado que siempre tienen en la boca al Pueblo.  Juan Roig renuncia al sueldo y al beneficio de Mercadona y destina 70 millones a la sociedad española https://t.co/BStkcOSAnQ vía @ABC_CValenciana,-1.0
@eesanz @RamonMartinez69 @PastorMNunez En serio? Ayer murió un sacerdote de COVID. Y cuántos creyentes no han muerto. Vamos a respetarnos,-1.0
"@ladorito @clepanto No puedo, tengo Covid. Eso me impide salir.",-1.0
"🚨Así está el panorama actual de la covid-19. ▪️Mundo: contagiados 4.063.525, recuperados 1.433.990 y muertes 282.244. ▪️Colombia: contagiados 11.613, recuperados 2.835 y muertes 479. ▪️Cesar: contagiados 72, recuperados 46 y 11 muertes. https://t.co/2ePyvkjbTh",1.0
